assetid,assetref,assetdesc,assetgroup,prodgroup,company,city,department,building,room,purdate,purprice,depterm,assetage,tddep,bookvalue,opstatus,maintstatus
1154,MOHCC/IT/312/002,Visitor's chair,Furniture and Fixtures,Chairs,MOHCC,Harare,Public Works,Head Office,105,2001/12/21,624,4,1391,594.1,29.9,Operational,In Use
1155,FINIP/IT/312/001,Visitor's chair,Furniture and Fixtures,Chairs,FINIP,Harare,Public Works,Head Office,105,2001/12/21,624,4,1391,594.1,29.9,Operational,In Use
1156,MLAFR/IT/312/001,Visitor's chair,Furniture and Fixtures,Chairs,MLAFR,Harare,Public Works,Head Office,105,2001/12/21,624,4,1391,594.1,29.9,Operational,In Use
1157,MOHCC/IT/312/001,Visitor's chair,Furniture and Fixtures,Chairs,MOHCC,Harare,Public Works,Head Office,105,2001/12/21,624,4,1391,594.1,29.9,Operational,In Use
1158,FINIP/LOG/004/003,Monitor,Equipment - Computers,Computers,FINIP,Harare,Public Works,Head Office,106,2001/12/21,1000,4,1391,952.09,47.91,Operational,In Use
1159,MOHCC/LOG/004/003,Monitor,Equipment - Computers,Computers,MOHCC,Harare,Public Works,Head Office,106,2001/12/21,1000,4,1391,952.09,47.91,Operational,In Use
1160,FINIP/LOG/313/002,Highback leather chair,Furniture and Fixtures,Chairs,FINIP,Harare,Public Works,Head Office,106,2001/12/21,825.22,4,1387,711224.14,37945.63,Operational,In Use
1161,FINIP/OPS/471/004,Hilux DC 2.8 GD6 4x4,Motor Vehicles,Bakkies,FINIP,Harare,Rural Development,HQ Parking,Bay 03,2006/12/21,749169.77,4,1387,711224.14,37945.63,Operational,In Use
1162,MICOM/OPS/471/004,Hilux DC 2.8 GD6 4x4,Motor Vehicles,Bakkies,MICOM,Harare,Rural Development,HQ Parking,Bay 03,2006/12/21,749169.77,4,1386,710711.36,38458.41,Operational,In Use
1163,MLAFR/OPS/471/004,Hilux DC 2.8 GD6 4x4,Motor Vehicles,Bakkies,MLAFR,Harare,Rural Development,HQ Parking,Bay 03,2006/12/21,749169.77,4,1386,710711.36,38458.41,Operational,In Use
1164,MOHCC/LOG/313/002,Highback leather chair,Furniture and Fixtures,Chairs,MOHCC,Harare,Public Works,Head Office,106,2001/12/21,825.22,4,1386,710711.36,38458.41,Operational,In Use
1165,MOHCC/OPS/471/004,Hilux DC 2.8 GD6 4x4,Motor Vehicles,Bakkies,MOHCC,Harare,Rural Development,HQ Parking,Bay 03,2006/12/21,749169.77,4,1386,710711.36,38458.41,Operational,In Use
1166,FINIP/LOG/371/001,Concept Cluster table,Furniture and Fixtures,Tables,FINIP,Harare,Public Works,Head Office,202,2001/12/21,2240,4,1391,2132.68,107.32,Operational,In Use
1167,MLAFR/LOG/371/001,Concept Cluster table,Furniture and Fixtures,Tables,MLAFR,Harare,Public Works,Head Office,202,2001/12/21,2240,4,1391,2132.68,107.32,Operational,In Use
1168,MOHCC/LOG/371/001,Concept Cluster table,Furniture and Fixtures,Tables,MOHCC,Harare,Public Works,Head Office,202,2001/12/21,2240,4,1392,2134.21,105.79,Operational,In Use
1169,FINIP/LOG/341/003,Concept Desk with mobile pedestal drawer,Furniture and Fixtures,Desks,FINIP,Harare,Public Works,Head Office,106,2001/12/21,2240,4,1391,2132.68,107.32,Operational,In Use
1170,MLAFR/LOG/341/003,Concept Desk with mobile pedestal drawer,Furniture and Fixtures,Desks,MLAFR,Harare,Public Works,Head Office,106,2001/12/21,2240,4,1391,2132.68,107.32,Operational,In Use
1171,MOHCC/LOG/341/003,Concept Desk with mobile pedestal drawer,Furniture and Fixtures,Desks,MOHCC,Harare,Public Works,Head Office,106,2001/12/21,2240,4,1392,2134.21,105.79,Operational,In Use
1172,FINIP/MD/003/001,Notebook,Equipment - Computers,Computers,FINIP,Harare,Public Works,Head Office,106,2001/12/21,18052.98,4,1391,17188.02,864.96,Operational,In Use
1173,MOHCC/MD/003/001,Notebook,Equipment - Computers,Computers,MOHCC,Harare,Public Works,Head Office,106,2001/12/21,18052.98,4,1391,17188.02,864.96,Operational,In Use
1174,FINIP/MD/100/001,Television,Equipment - Office,Audio Visual,FINIP,Harare,Public Works,Head Office,106,2001/12/21,7306.87,4,1391,6956.78,350.09,Operational,In Use
1175,MLAFR/MD/100/001,Television,Equipment - Office,Audio Visual,MLAFR,Harare,Public Works,Head Office,106,2001/12/21,7306.87,4,1391,6956.78,350.09,Operational,In Use
1176,MOHCC/MD/100/001,Television,Equipment - Office,Audio Visual,MOHCC,Harare,Public Works,Head Office,106,2001/12/21,7306.87,4,1391,6956.78,350.09,Operational,In Use
1177,FINIP/MD/340/001,Concept desk,Furniture and Fixtures,Desks,FINIP,Harare,Public Works,Head Office,201,2001/12/21,2240,4,1391,2132.68,107.32,Operational,In Use
1178,MLAFR/MD/340/001,Concept desk,Furniture and Fixtures,Desks,MLAFR,Harare,Public Works,Head Office,201,2001/12/21,2240,4,1391,2132.68,107.32,Operational,In Use
1179,MOHCC/MD/340/001,Concept desk,Furniture and Fixtures,Desks,MOHCC,Harare,Public Works,Head Office,201,2001/12/21,2240,4,1392,2134.21,105.79,Operational,In Use
1180,FINIP/MD/372/001,Kyla Conference table,Furniture and Fixtures,Tables,FINIP,Harare,Public Works,Head Office,101,2001/12/21,1613.6,4,1391,1536.29,77.31,Operational,In Use
1181,MLAFR/MD/372/001,Kyla Conference table,Furniture and Fixtures,Tables,MLAFR,Harare,Public Works,Head Office,101,2001/12/21,1613.6,4,1391,1536.29,77.31,Operational,In Use
1182,MOHCC/MD/372/001,Kyla Conference table,Furniture and Fixtures,Tables,MOHCC,Harare,Public Works,Head Office,101,2001/12/21,1613.6,4,1392,1537.39,76.21,Operational,In Use
1183,FINIP/MD/313/001,Highback leather chair,Furniture and Fixtures,Chairs,FINIP,Harare,Public Works,Head Office,106,2001/12/21,865.23,4,1392,824.37,40.86,Operational,In Use
1184,MOHCC/MD/313/001,Highback leather chair,Furniture and Fixtures,Chairs,MOHCC,Harare,Public Works,Head Office,106,2001/12/21,865.23,4,1391,823.77,41.46,Operational,In Use
1185,FINIP/MD/110/001,Fridges,Equipment - Office,Fridges,FINIP,Harare,Public Works,Head Office,105,2001/12/21,2173.04,4,1396,553561.92,25774.73,Operational,In Use
1186,FINIP/OPS/470/003,Toyota - Hillux 2.4 GD6 D/C,Motor Vehicles,Bakkies,FINIP,Bulawayo,Rural Development,Bulawayo Parking,Basement Parking,2026/11/21,579336.65,4,1396,553561.92,25774.73,Operational,In Use
1187,MICOM/OPS/470/003,Toyota - Hillux 2.4 GD6 D/C,Motor Vehicles,Bakkies,MICOM,Bulawayo,Rural Development,Bulawayo Parking,Basement Parking,2026/11/21,579336.65,4,1396,553561.92,25774.73,Operational,In Use
1188,MLAFR/MD/110/001,Fridges,Equipment - Office,Fridges,MLAFR,Harare,Public Works,Head Office,105,2001/12/21,2173.04,4,1396,553561.92,25774.73,Operational,In Use
1189,MLAFR/OPS/470/003,Toyota - Hillux 2.4 GD6 D/C,Motor Vehicles,Bakkies,MLAFR,Bulawayo,Rural Development,Bulawayo Parking,Basement Parking,2026/11/21,579336.65,4,1396,553561.92,25774.73,Operational,In Use
1190,MOHCC/MD/110/001,Fridges,Equipment - Office,Fridges,MOHCC,Harare,Public Works,Head Office,105,2001/12/21,2173.04,4,1396,553561.92,25774.73,Operational,In Use
1191,MOHCC/OPS/470/003,Toyota - Hillux 2.4 GD6 D/C,Motor Vehicles,Bakkies,MOHCC,Bulawayo,Rural Development,Bulawayo Parking,Basement Parking,2026/11/21,579336.65,4,1396,553561.92,25774.73,Operational,In Use
1192,FINIP/ADM/313/001,Highback leather chair,Furniture and Fixtures,Chairs,FINIP,Harare,Public Works,Head Office,201,2001/12/21,825.22,4,1391,785.68,39.54,Operational,In Use
1193,MLAFR/ADM/313/001,Highback leather chair,Furniture and Fixtures,Chairs,MLAFR,Harare,Public Works,Head Office,201,2001/12/21,825.22,4,1391,785.68,39.54,Operational,In Use
1194,MOHCC/ADM/313/001,Highback leather chair,Furniture and Fixtures,Chairs,MOHCC,Harare,Public Works,Head Office,201,2001/12/21,825.22,4,1391,785.68,39.54,Operational,In Use
1195,FINIP/ADM/350/001,Mobile Pedestal Drawer,Furniture and Fixtures,Drawers,FINIP,Harare,Public Works,Head Office,201,2001/12/21,1430.44,4,1391,1361.9,68.54,Operational,In Use
1196,MLAFR/ADM/350/001,Mobile Pedestal Drawer,Furniture and Fixtures,Drawers,MLAFR,Harare,Public Works,Head Office,201,2001/12/21,1430.44,4,1391,1361.9,68.54,Operational,In Use
1197,MOHCC/ADM/350/001,Mobile Pedestal Drawer,Furniture and Fixtures,Drawers,MOHCC,Harare,Public Works,Head Office,201,2001/12/21,1430.44,4,1391,1361.9,68.54,Operational,In Use
1198,FINIP/ADM/004/001,Monitor : Camera AOC,Equipment - Computers,Computers,FINIP,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,1000,4,1391,952.09,47.91,Operational,In Use
1199,MLAFR/ADM/004/001,Monitor : Camera AOC,Equipment - Computers,Computers,MLAFR,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,1000,4,1391,952.09,47.91,Operational,In Use
1200,MOHCC/ADM/004/001,Monitor : Camera AOC,Equipment - Computers,Computers,MOHCC,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,1000,4,1391,952.09,47.91,Operational,In Use
1201,FINIP/OPS/313/002,Highback leather chair,Furniture and Fixtures,Chairs,FINIP,Harare,Public Works,Head Office,201,2001/12/21,825.22,4,1391,785.68,39.54,Operational,In Use
1202,MLAFR/OPS/313/002,Highback leather chair,Furniture and Fixtures,Chairs,MLAFR,Harare,Public Works,Head Office,201,2001/12/21,825.22,4,1391,785.68,39.54,Operational,In Use
1203,MOHCC/OPS/313/002,Highback leather chair,Furniture and Fixtures,Chairs,MOHCC,Harare,Public Works,Head Office,201,2001/12/21,825.22,4,1391,785.68,39.54,Operational,In Use
1204,FINIP/OPS/310/001,Bench Chair with 4 seats,Furniture and Fixtures,Chairs,FINIP,Harare,Public Works,Head Office,104,2001/12/21,4966.4,4,1391,4728.45,237.95,Operational,In Use
1205,MLAFR/OPS/310/001,Bench Chair with 4 seats,Furniture and Fixtures,Chairs,MLAFR,Harare,Public Works,Head Office,104,2001/12/21,4966.4,4,1391,4728.45,237.95,Operational,In Use
1206,MOHCC/OPS/310/001,Bench Chair with 4 seats,Furniture and Fixtures,Chairs,MOHCC,Harare,Public Works,Head Office,104,2001/12/21,4966.4,4,1392,4731.85,234.55,Operational,In Use
1207,FINIP/OPS/340/001,Concept desk,Furniture and Fixtures,Desks,FINIP,Harare,Public Works,Head Office,201,2001/12/21,2240,4,1391,2132.68,107.32,Operational,In Use
1208,MLAFR/OPS/340/001,Concept desk,Furniture and Fixtures,Desks,MLAFR,Harare,Public Works,Head Office,201,2001/12/21,2240,4,1391,2132.68,107.32,Operational,In Use
1209,MOHCC/OPS/340/001,Concept desk,Furniture and Fixtures,Desks,MOHCC,Harare,Public Works,Head Office,201,2001/12/21,2240,4,1391,2132.68,107.32,Operational,In Use
1210,FINIP/FIN/313/001,Highback Chair,Furniture and Fixtures,Chairs,FINIP,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,865.22,4,1391,823.77,41.45,Operational,In Use
1211,MLAFR/FIN/313/001,Highback Chair,Furniture and Fixtures,Chairs,MLAFR,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,865.22,4,1391,823.77,41.45,Operational,In Use
1212,MOHCC/FIN/313/001,Highback Chair,Furniture and Fixtures,Chairs,MOHCC,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,865.22,4,1391,823.77,41.45,Operational,In Use
1213,FINIP/ADM/341/001,Concept Desk with mobile pedestal drawer,Furniture and Fixtures,Desks,FINIP,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,1213,4,1391,1154.88,58.12,Operational,In Use
1214,MLAFR/ADM/341/001,Concept Desk with mobile pedestal drawer,Furniture and Fixtures,Desks,MLAFR,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,1213,4,1391,1154.88,58.12,Operational,In Use
1215,MOHCC/ADM/341/001,Concept Desk with mobile pedestal drawer,Furniture and Fixtures,Desks,MOHCC,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,1213,4,1391,1154.88,58.12,Operational,In Use
1216,FINIP/OPS/312/001,Visitor's chair,Furniture and Fixtures,Chairs,FINIP,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,556,4,1391,529.36,26.64,Operational,In Use
1217,MLAFR/OPS/312/001,Visitor's chair,Furniture and Fixtures,Chairs,MLAFR,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,556,4,1391,529.36,26.64,Operational,In Use
1218,MOHCC/OPS/312/001,Visitor's chair,Furniture and Fixtures,Chairs,MOHCC,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,556,4,1391,529.36,26.64,Operational,In Use
1219,FINIP/OPS/312/001,Visitor's chair,Furniture and Fixtures,Chairs,FINIP,Harare,Public Works,Head Office,106,2001/12/21,624,4,1391,594.1,29.9,Operational,In Use
1220,MLAFR/OPS/312/001,Visitor's chair,Furniture and Fixtures,Chairs,MLAFR,Harare,Public Works,Head Office,106,2001/12/21,624,4,1391,594.1,29.9,Operational,In Use
1221,MOHCC/OPS/312/001,Visitor's chair,Furniture and Fixtures,Chairs,MOHCC,Harare,Public Works,Head Office,106,2001/12/21,624,4,1391,594.1,29.9,Operational,In Use
1222,FINIP/OPS/312/002,Visitor's chair,Furniture and Fixtures,Chairs,FINIP,Harare,Public Works,Head Office,201,2001/12/21,624,4,1391,594.1,29.9,Operational,In Use
1223,MLAFR/OPS/312/002,Visitor's chair,Furniture and Fixtures,Chairs,MLAFR,Harare,Public Works,Head Office,201,2001/12/21,624,4,1391,594.1,29.9,Operational,In Use
1224,MOHCC/OPS/312/002,Visitor's chair,Furniture and Fixtures,Chairs,MOHCC,Harare,Public Works,Head Office,201,2001/12/21,624,4,1391,594.1,29.9,Operational,In Use
1225,FINIP/FIN/312/001,Visitor's chair,Furniture and Fixtures,Chairs,FINIP,Harare,Public Works,Head Office,201,2001/12/21,1446.4,4,1391,1377.1,69.3,Operational,In Use
1226,MLAFR/FIN/312/001,Visitor's chair,Furniture and Fixtures,Chairs,MLAFR,Harare,Public Works,Head Office,201,2001/12/21,1446.4,4,1391,1377.1,69.3,Operational,In Use
1227,MOHCC/FIN/312/001,Visitor's chair,Furniture and Fixtures,Chairs,MOHCC,Harare,Public Works,Head Office,201,2001/12/21,1446.4,4,1392,1378.09,68.31,Operational,In Use
1228,FINIP/MD/312/001,Visitor's chair,Furniture and Fixtures,Chairs,FINIP,Harare,Public Works,Head Office,101,2001/12/21,1446.4,4,1391,1377.1,69.3,Operational,In Use
1229,MLAFR/MD/312/001,Visitor's chair,Furniture and Fixtures,Chairs,MLAFR,Harare,Public Works,Head Office,101,2001/12/21,1446.4,4,1391,1377.1,69.3,Operational,In Use
1230,MOHCC/MD/312/001,Visitor's chair,Furniture and Fixtures,Chairs,MOHCC,Harare,Public Works,Head Office,101,2001/12/21,1446.4,4,1391,1377.1,69.3,Operational,In Use
1231,FINIP/MD/312/002,Wau Mesh back chair black,Furniture and Fixtures,Chairs,FINIP,Harare,Public Works,Head Office,101,2001/12/21,4320,4,1391,4113.02,206.98,Operational,In Use
1232,MLAFR/MD/312/002,Wau Mesh back chair black,Furniture and Fixtures,Chairs,MLAFR,Harare,Public Works,Head Office,101,2001/12/21,4320,4,1391,4113.02,206.98,Operational,In Use
1233,MOHCC/MD/312/002,Wau Mesh back chair black,Furniture and Fixtures,Chairs,MOHCC,Harare,Public Works,Head Office,101,2001/12/21,4320,4,1391,4113.02,206.98,Operational,In Use
1234,FINIP/OPS/332/001,4 drawer steel filing cabinet,Furniture and Fixtures,Cupboards and Cabinets,FINIP,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,1545.5,4,1391,1471.45,74.05,Operational,In Use
1235,MLAFR/OPS/332/001,4 drawer steel filing cabinet,Furniture and Fixtures,Cupboards and Cabinets,MLAFR,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,1545.5,4,1391,1471.45,74.05,Operational,In Use
1236,MOHCC/OPS/332/001,4 drawer steel filing cabinet,Furniture and Fixtures,Cupboards and Cabinets,MOHCC,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,1545.5,4,1391,1471.45,74.05,Operational,In Use
1237,FINIP/ADM/315/001,Red Comfy Chairs/ Lounge Suit,Furniture and Fixtures,Chairs,FINIP,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1238,MLAFR/ADM/315/001,Red Comfy Chairs/ Lounge Suit,Furniture and Fixtures,Chairs,MLAFR,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1239,MOHCC/ADM/315/001,Red Comfy Chairs/ Lounge Suit,Furniture and Fixtures,Chairs,MOHCC,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,0.01,4,1392,0.01,0,Operational,In Use
1240,FINIP/ADM/350/002,Mobile Pedestal 3 door drawer,Furniture and Fixtures,Drawers,FINIP,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,1430.44,4,1392,1362.88,67.56,Operational,In Use
1241,MLAFR/ADM/350/002,Mobile Pedestal 3 door drawer,Furniture and Fixtures,Drawers,MLAFR,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,1430.44,4,1391,1361.9,68.54,Operational,In Use
1242,MOHCC/ADM/350/002,Mobile Pedestal 3 door drawer,Furniture and Fixtures,Drawers,MOHCC,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,1430.44,4,1391,1361.9,68.54,Operational,In Use
1243,FINIP/TEC/003/001,Notebook,Equipment - Computers,Computers,FINIP,Harare,Public Works,Head Office,101,2015/04/22,5639,4,1256,4847.76,791.24,Operational,In Use
1244,MLAFR/TEC/003/001,Notebook,Equipment - Computers,Computers,MLAFR,Harare,Public Works,Head Office,101,2015/04/22,5639,4,1256,4847.76,791.24,Operational,In Use
1245,MOHCC/TEC/003/001,Notebook,Equipment - Computers,Computers,MOHCC,Harare,Public Works,Head Office,101,2015/04/22,5639,4,1257,4851.62,787.38,Operational,In Use
1246,FINIP/TEC/342/001,Kyla 2 drawer filer desk,Furniture and Fixtures,Desks,FINIP,Harare,Public Works,Head Office,104,2001/12/21,1480,4,1391,1409.09,70.91,Idle/ Standby,In Use
1247,MLAFR/TEC/342/001,Kyla 2 drawer filer desk,Furniture and Fixtures,Desks,MLAFR,Harare,Public Works,Head Office,104,2001/12/21,1480,4,1391,1409.09,70.91,Idle/ Standby,In Use
1248,MOHCC/TEC/342/001,Kyla 2 drawer filer desk,Furniture and Fixtures,Desks,MOHCC,Harare,Public Works,Head Office,104,2001/12/21,1480,4,1391,1409.09,70.91,Idle/ Standby,In Use
1249,FINIP/TEC/313/001,Highback leather chair,Furniture and Fixtures,Chairs,FINIP,Harare,Public Works,Head Office,201,2001/12/21,865.23,4,1391,823.77,41.46,Operational,In Use
1250,MLAFR/TEC/313/001,Highback leather chair,Furniture and Fixtures,Chairs,MLAFR,Harare,Public Works,Head Office,201,2001/12/21,865.23,4,1391,823.77,41.46,Operational,In Use
1251,MOHCC/TEC/313/001,Highback leather chair,Furniture and Fixtures,Chairs,MOHCC,Harare,Public Works,Head Office,201,2001/12/21,865.23,4,1391,823.77,41.46,Operational,In Use
1252,FINIP/OPS/002/12,Laptop Lenovo - 017  S/N : mp15u6r4,Equipment - Computers,Computers,FINIP,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,6022.59,4,1391,5734.03,288.56,Operational,In Use
1253,MLAFR/OPS/002/12,Laptop Lenovo - 017  S/N : mp15u6r4,Equipment - Computers,Computers,MLAFR,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,6022.59,4,1391,5734.03,288.56,Operational,In Use
1254,MOHCC/OPS/002/12,Laptop Lenovo - 017  S/N : mp15u6r4,Equipment - Computers,Computers,MOHCC,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,6022.59,4,1392,5738.16,284.43,Operational,In Use
1255,FINIP/OPS/420/004,Toyota LC 79 4.2 Diesel D/C,Motor Vehicles,Bakkies,FINIP,Bulawayo,Rural Development,Bulawayo Parking,Basement Parking,2021/10/22,39955.86,4,1067,29180.63,10775.23,Operational,In Use
1256,MLAFR/OPS/420/004,Toyota LC 79 4.2 Diesel D/C,Motor Vehicles,Bakkies,MLAFR,Bulawayo,Rural Development,Bulawayo Parking,Basement Parking,2021/10/22,39955.86,4,1067,29180.63,10775.23,Operational,In Use
1257,MOHCC/OPS/420/004,Toyota LC 79 4.2 Diesel D/C,Motor Vehicles,Bakkies,MOHCC,Bulawayo,Rural Development,Bulawayo Parking,Basement Parking,2021/10/22,39955.86,4,1067,29180.63,10775.23,Operational,In Use
1258,FINIP/OPS/470/001,Toyota - Hillux 2.4 GD6 D/C,Motor Vehicles,Bakkies,FINIP,Harare,Rural Development,Harare Parking,Main Parking,2004/07/22,581365.88,4,1177,468355.67,113010.21,Operational,In Use
1259,MLAFR/OPS/470/001,Toyota - Hillux 2.4 GD6 D/C,Motor Vehicles,Bakkies,MLAFR,Harare,Rural Development,Harare Parking,Main Parking,2004/07/22,581365.88,4,1176,467957.75,113408.13,Operational,In Use
1260,MOHCC/OPS/470/001,Toyota - Hillux 2.4 GD6 D/C,Motor Vehicles,Bakkies,MOHCC,Harare,Rural Development,Harare Parking,Main Parking,2004/07/22,581365.88,4,1176,467957.75,113408.13,Operational,In Use
1261,FINIP/OPS/210/002,Fridge,Equipment - Office,Payment Equipment,FINIP,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,31751.71,4,1391,30230.41,1521.3,Operational,In Use
1262,MLAFR/OPS/210/002,Fridge,Equipment - Office,Payment Equipment,MLAFR,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,31751.71,4,1391,30230.41,1521.3,Operational,In Use
1263,MOHCC/OPS/210/002,Fridge,Equipment - Office,Payment Equipment,MOHCC,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,31751.71,4,1391,30230.41,1521.3,Operational,In Use
1264,FINIP/OPS/210/006,Fridge,Equipment - Office,Payment Equipment,FINIP,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,31751.71,4,1391,30230.41,1521.3,Operational,In Use
1265,MLAFR/OPS/210/006,Fridge,Equipment - Office,Payment Equipment,MLAFR,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,31751.71,4,1391,30230.41,1521.3,Operational,In Use
1266,MOHCC/OPS/210/006,Fridge,Equipment - Office,Payment Equipment,MOHCC,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,31751.71,4,1391,30230.41,1521.3,Operational,In Use
1267,FINIP/IT/210/001,Fridge,Equipment - Office,Payment Equipment,FINIP,Harare,Public Works,Head Office,105,2001/12/21,31751.71,4,1391,30230.41,1521.3,Operational,In Use
1268,MLAFR/IT/210/001,Fridge,Equipment - Office,Payment Equipment,MLAFR,Harare,Public Works,Head Office,105,2001/12/21,31751.71,4,1391,30230.41,1521.3,Operational,In Use
1269,MOHCC/IT/210/001,Fridge,Equipment - Office,Payment Equipment,MOHCC,Harare,Public Works,Head Office,105,2001/12/21,31751.71,4,1391,30230.41,1521.3,Operational,In Use
1270,FINIP/OPS/230/001,Inverter/UPS - 003,Equipment - Office,Payment Equipment,FINIP,Harare,Public Works,Head Office,105,2001/12/21,3766,4,1391,3585.56,180.44,Operational,In Use
1271,MLAFR/OPS/230/001,Inverter/UPS - 003,Equipment - Office,Payment Equipment,MLAFR,Harare,Public Works,Head Office,105,2001/12/21,3766,4,1391,3585.56,180.44,Operational,In Use
1272,MOHCC/OPS/230/001,Inverter/UPS - 003,Equipment - Office,Payment Equipment,MOHCC,Harare,Public Works,Head Office,105,2001/12/21,3766,4,1391,3585.56,180.44,Operational,In Use
1273,FINIP/OPS/210/001,Fridge,Equipment - Office,Payment Equipment,FINIP,Harare,Public Works,Head Office,105,2001/12/21,31751.71,4,1391,30230.41,1521.3,Operational,In Use
1274,MLAFR/OPS/210/001,Fridge,Equipment - Office,Payment Equipment,MLAFR,Harare,Public Works,Head Office,105,2001/12/21,31751.71,4,1391,30230.41,1521.3,Operational,In Use
1275,MOHCC/OPS/210/001,Fridge,Equipment - Office,Payment Equipment,MOHCC,Harare,Public Works,Head Office,105,2001/12/21,31751.71,4,1391,30230.41,1521.3,Operational,In Use
1276,FINIP/OPS/230/006,Inverter/UPS - 014,Equipment - Office,Payment Equipment,FINIP,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,3766,4,1391,3585.56,180.44,Operational,In Use
1277,MLAFR/OPS/230/006,Inverter/UPS - 014,Equipment - Office,Payment Equipment,MLAFR,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,3766,4,1391,3585.56,180.44,Operational,In Use
1278,MOHCC/OPS/230/006,Inverter/UPS - 014,Equipment - Office,Payment Equipment,MOHCC,Bulawayo,Urban Development,Bulawayo Office,104,2001/12/21,3766,4,1391,3585.56,180.44,Operational,In Use
1279,FINIP/OPS/420/005,Toyota LC 79 4.2 Diesel D/C,Motor Vehicles,Bakkies,FINIP,Bulawayo,Rural Development,Bulawayo Parking,Basement Parking,2022/10/22,39955.86,4,1066,29153.28,10802.58,Operational,In Use
1280,MLAFR/OPS/420/005,Toyota LC 79 4.2 Diesel D/C,Motor Vehicles,Bakkies,MLAFR,Bulawayo,Rural Development,Bulawayo Parking,Basement Parking,2022/10/22,39955.86,4,1066,29153.28,10802.58,Operational,In Use
1281,MOHCC/OPS/420/005,Toyota LC 79 4.2 Diesel D/C,Motor Vehicles,Bakkies,MOHCC,Bulawayo,Rural Development,Bulawayo Parking,Basement Parking,2022/10/22,39955.86,4,1066,29153.28,10802.58,Operational,In Use
1282,FINIP/LOG/003/002,Notebook,Equipment - Computers,Computers,FINIP,Harare,Public Works,Head Office,202,2012/11/22,0.01,4,1045,0.01,0,Operational,In Use
1283,MLAFR/LOG/003/002,Notebook,Equipment - Computers,Computers,MLAFR,Harare,Public Works,Head Office,202,2012/11/22,0.01,4,1045,0.01,0,Operational,In Use
1284,MOHCC/LOG/003/002,Notebook,Equipment - Computers,Computers,MOHCC,Harare,Public Works,Head Office,202,2012/11/22,0.01,4,1046,0.01,0,Operational,In Use
1285,FINIP/MD/312/003,Visitor Chair,Furniture and Fixtures,Chairs,FINIP,Harare,Public Works,Head Office,202,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1286,MLAFR/MD/312/003,Visitor Chair,Furniture and Fixtures,Chairs,MLAFR,Harare,Public Works,Head Office,202,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1287,MOHCC/MD/312/003,Visitor Chair,Furniture and Fixtures,Chairs,MOHCC,Harare,Public Works,Head Office,202,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1288,FINIP/MD/312/004,Visitor Chair,Furniture and Fixtures,Chairs,FINIP,Harare,Public Works,Head Office,202,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1289,MLAFR/MD/312/004,Visitor Chair,Furniture and Fixtures,Chairs,MLAFR,Harare,Public Works,Head Office,202,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1290,MOHCC/MD/312/004,Visitor Chair,Furniture and Fixtures,Chairs,MOHCC,Harare,Public Works,Head Office,202,2001/12/21,0.01,4,1391,0.01,0,Operational,In Use
1291,FINIP/OPS/230/15,Inverter/UPS,Equipment - Office,Payment Equipment,FINIP,Bulawayo,Urban Development,Bulawayo Office,104,2011/12/22,6552.18,4,1017,4560.96,1991.22,Operational,In Use
